Sentence,SIGN GLOSSES
the sun is shining today,SUN SHINE TODAY
it is raining outside,RAIN OUTSIDE
the weather is very hot,WEATHER VERY HOT
it is cold this morning,COLD THIS MORNING
there is a lot of wind today,WIND LOT TODAY
the sky is cloudy,SKY CLOUDY
it will rain tomorrow,TOMORROW RAIN
the temperature is very high,TEMPERATURE VERY HIGH
it is foggy outside,FOG OUTSIDE
snow is falling,SNOW FALL
i go to school every day,I GO SCHOOL EVERY DAY
my school starts at eight,MY SCHOOL START EIGHT
i have homework today,I HAVE HOMEWORK TODAY
the teacher is explaining the lesson,TEACHER EXPLAIN LESSON
i failed my exam,I FAIL EXAM
i passed my exam,I PASS EXAM
open your book,OPEN YOUR BOOK
close your notebook,CLOSE YOUR NOTEBOOK
write the answer on the board,WRITE ANSWER BOARD
the principal called me,PRINCIPAL CALL ME
i study mathematics,I STUDY MATHEMATICS
science is my favourite subject,SCIENCE MY FAVOURITE SUBJECT
history class is boring,HISTORY CLASS BORING
english is difficult for me,ENGLISH DIFFICULT ME
i like drawing,I LIKE DRAW
the library is on the second floor,LIBRARY SECOND FLOOR
submit your assignment tomorrow,SUBMIT YOUR ASSIGNMENT TOMORROW
i forgot my pencil,I FORGET PENCIL
borrow my eraser,BORROW MY ERASER
the exam is next week,EXAM NEXT WEEK
i am going to the hospital,I GO HOSPITAL
the doctor examined me,DOCTOR EXAMINE ME
i have a headache,I HAVE HEADACHE
my stomach is hurting,MY STOMACH HURT
take this medicine twice a day,TAKE MEDICINE TWICE DAY
i have a cold,I HAVE COLD
i need to see a doctor,I NEED SEE DOCTOR
my leg is broken,MY LEG BROKEN
the nurse gave me an injection,NURSE GIVE ME INJECTION
i feel dizzy,I FEEL DIZZY
drink more water,DRINK MORE WATER
rest for two days,REST TWO DAYS
my blood pressure is high,MY BLOOD PRESSURE HIGH
i am diabetic,I DIABETIC
get well soon,GET WELL SOON
i have an allergy,I HAVE ALLERGY
my eyes are weak,MY EYES WEAK
i wear glasses,I WEAR GLASSES
the medicine is bitter,MEDICINE BITTER
take the tablet after eating,TAKE TABLET AFTER EAT
